user_id,occurred_at,event_type,event_name,location,device,user_type
11768.0,2014-05-01 08:03:12,signup_flow,complete_signup,France,macbook pro,3.0
11768.0,2014-05-01 08:01:36,signup_flow,create_user,France,macbook pro,
11768.0,2014-05-01 08:02:06,signup_flow,enter_email,France,macbook pro,
11768.0,2014-05-01 08:02:39,signup_flow,enter_info,France,macbook pro,
11769.0,2014-05-01 02:37:43,signup_flow,create_user,United Kingdom,lenovo thinkpad,
11770.0,2014-05-01 06:08:50,signup_flow,complete_signup,Japan,iphone 5s,3.0
11770.0,2014-05-01 06:07:24,signup_flow,create_user,Japan,iphone 5s,
11770.0,2014-05-01 06:07:48,signup_flow,enter_email,Japan,iphone 5s,
11770.0,2014-05-01 06:08:16,signup_flow,enter_info,Japan,iphone 5s,
11771.0,2014-05-01 10:52:46,signup_flow,create_user,Indonesia,nexus 5,
11772.0,2014-05-01 09:11:44,signup_flow,create_user,Germany,htc one,
11773.0,2014-05-01 17:11:31,signup_flow,create_user,Greece,macbook air,
11774.0,2014-05-01 15:19:42,signup_flow,create_user,Norway,dell inspiron notebook,
11775.0,2014-05-01 16:38:06,signup_flow,complete_signup,United Kingdom,lenovo thinkpad,2.0
11775.0,2014-05-01 16:36:49,signup_flow,create_user,United Kingdom,lenovo thinkpad,
11775.0,2014-05-01 16:37:10,signup_flow,enter_email,United Kingdom,lenovo thinkpad,
11775.0,2014-05-01 16:37:32,signup_flow,enter_info,United Kingdom,lenovo thinkpad,
11776.0,2014-05-01 11:05:34,signup_flow,create_user,United States,iphone 4s,
11777.0,2014-05-01 11:26:34,signup_flow,create_user,United States,nokia lumia 635,
11777.0,2014-05-01 11:27:05,signup_flow,enter_email,United States,nokia lumia 635,
11778.0,2014-05-01 18:49:49,signup_flow,complete_signup,Indonesia,iphone 4s,3.0
11778.0,2014-05-01 18:48:21,signup_flow,create_user,Indonesia,iphone 4s,
11778.0,2014-05-01 18:48:51,signup_flow,enter_email,Indonesia,iphone 4s,
11778.0,2014-05-01 18:49:22,signup_flow,enter_info,Indonesia,iphone 4s,
11779.0,2014-05-01 18:24:54,signup_flow,complete_signup,Germany,samsung galaxy s4,1.0
11779.0,2014-05-01 18:23:21,signup_flow,create_user,Germany,samsung galaxy s4,
11779.0,2014-05-01 18:23:50,signup_flow,enter_email,Germany,samsung galaxy s4,
11779.0,2014-05-01 18:24:25,signup_flow,enter_info,Germany,samsung galaxy s4,
11780.0,2014-05-01 10:34:04,signup_flow,complete_signup,United States,iphone 4s,3.0
11780.0,2014-05-01 10:32:46,signup_flow,create_user,United States,iphone 4s,
11780.0,2014-05-01 10:33:18,signup_flow,enter_email,United States,iphone 4s,
11780.0,2014-05-01 10:33:38,signup_flow,enter_info,United States,iphone 4s,
11781.0,2014-05-01 11:07:01,signup_flow,create_user,Germany,iphone 5s,
11782.0,2014-05-01 15:52:38,signup_flow,create_user,Taiwan,lenovo thinkpad,
11783.0,2014-05-01 14:47:10,signup_flow,create_user,Canada,htc one,
11784.0,2014-05-01 00:54:09,signup_flow,create_user,United Kingdom,nexus 5,
